 [2019-05-16 09:44:58,425] INFO    32[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 09:44:58,440]ERROR    47[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 09:45:02,395] INFO  4002[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 09:46:41,828] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 09:46:41,843] INFO    15[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 09:46:41,843] INFO    15[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 09:46:41,843]ERROR    15[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 09:46:45,986] INFO  4158[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:05:52,143] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:05:52,174] INFO    31[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:05:52,174] INFO    31[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:05:52,190]ERROR    47[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:05:57,139] INFO  4996[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:06:34,818] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:06:34,833] INFO    15[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:06:34,833] INFO    15[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:06:34,849]ERROR    31[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:06:38,989] INFO  4171[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:08:28,311] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:08:28,340] INFO    29[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:08:28,342] INFO    31[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:08:28,361]ERROR    50[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:08:31,724] INFO  3413[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:10:26,263] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:10:26,286] INFO    23[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:10:26,289] INFO    26[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:10:26,299]ERROR    36[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:10:31,406] INFO  5143[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:13:27,696] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:13:27,727] INFO    31[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:13:27,730] INFO    34[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:13:27,737]ERROR    41[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:13:31,963] INFO  4267[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:14:23,267] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:14:23,308] INFO    41[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:14:23,311] INFO    44[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:14:23,318]ERROR    51[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:14:27,584] INFO  4317[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:16:39,382] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:16:39,392] INFO    10[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:16:39,392] INFO    10[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:16:39,411]ERROR    29[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
 [2019-05-16 10:16:43,485] INFO  4103[main] - applications.Main.main(Main.java:48) - 输出应用一的选择菜单
 [2019-05-16 10:17:57,179] INFO     0[main] - applications.Main.main(Main.java:36) - 选择trackgame应用
 [2019-05-16 10:17:57,209] INFO    30[main] - applications.Main.main(Main.java:40) - 读取trackgame.txt的信息
 [2019-05-16 10:17:57,212] INFO    33[main] - applications.Main.main(Main.java:44) - 正在对读入文本进行正则表达式解析！
 [2019-05-16 10:17:57,217]ERROR    38[main] - circularOrbit.TrackGame.Analysis(TrackGame.java:146) - 运动员第二个参数不是纯数字，重新输入文件
