 [2019-06-18 21:32:54,318] INFO 42909[Thread-22677] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21719] - lab6.monkey.run(monkey.java:144) - 猴子 1720 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21719] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21719] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21783] - lab6.monkey.run(monkey.java:144) - 猴子 1784 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21783] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21783] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21751] - lab6.monkey.run(monkey.java:144) - 猴子 1752 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21751] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21751] - lab6.monkey.run(monkey.java:153) - 27 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-21523] - lab6.monkey.run(monkey.java:144) - 猴子 1524 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21523] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-21523] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-23823] - lab6.monkey.run(monkey.java:144) - 猴子 3824 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23823] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-23823] - lab6.monkey.run(monkey.java:153) - 30 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22891] - lab6.monkey.run(monkey.java:144) - 猴子 2892 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22891] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22891] - lab6.monkey.run(monkey.java:153) - 29 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22437] - lab6.monkey.run(monkey.java:144) - 猴子 2438 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22437] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22437] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
 [2019-06-18 21:32:53,725] INFO 42316[Thread-22317] - lab6.monkey.run(monkey.java:144) - 猴子 2318 在等待在 
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22317] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 21:32:54,318] INFO 42909[Thread-22317] - lab6.monkey.run(monkey.java:153) - 28 秒过去出生后
