 [2019-06-18 22:20:29,094] INFO957219[Thread-411] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,094] INFO957219[Thread-411] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-399] - lab6.monkey.run(monkey.java:144) - 猴子 100 在等待在 
 [2019-06-18 22:20:29,094] INFO957219[Thread-399] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,094] INFO957219[Thread-399] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-477] - lab6.monkey.run(monkey.java:144) - 猴子 178 在等待在 
 [2019-06-18 22:20:29,094] INFO957219[Thread-477] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,094] INFO957219[Thread-477] - lab6.monkey.run(monkey.java:153) - 921 秒过去出生后
 [2019-06-18 22:20:29,094] INFO957219[Thread-415] - lab6.monkey.run(monkey.java:144) - 猴子 116 在等待在 
 [2019-06-18 22:20:29,094] INFO957219[Thread-415] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:29,094] INFO957219[Thread-415] - lab6.monkey.run(monkey.java:153) - 931 秒过去出生后
 [2019-06-18 22:20:29,126] INFO957251[Thread-314] - lab6.monkey.run(monkey.java:144) - 猴子 15 在等待在 
 [2019-06-18 22:20:29,126] INFO957251[Thread-314] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,126] INFO957251[Thread-314] - lab6.monkey.run(monkey.java:153) - 946 秒过去出生后
 [2019-06-18 22:20:29,266] INFO957391[Thread-434] - lab6.monkey.run(monkey.java:144) - 猴子 135 在等待在 
 [2019-06-18 22:20:29,266] INFO957391[Thread-434] - lab6.monkey.run(monkey.java:146) - 左边
 [2019-06-18 22:20:29,266] INFO957391[Thread-434] - lab6.monkey.run(monkey.java:153) - 926 秒过去出生后
 [2019-06-18 22:20:29,266] INFO957391[Thread-490] - lab6.monkey.run(monkey.java:144) - 猴子 191 在等待在 
 [2019-06-18 22:20:29,266] INFO957391[Thread-490] - lab6.monkey.run(monkey.java:148) - 右边
 [2019-06-18 22:20:29,266] INFO957391[Thread-490] - lab6.monkey.run(monkey.java:153) - 916 秒过去出生后
